Updated at 14:28:09,,,
,,Timestamp,Close Price
,.FTSE,1/14/1999,5820.18
,.FTSE,1/15/1999,5941.02
,.FTSE,1/18/1999,6123.93
,.FTSE,1/19/1999,6027.59
,.FTSE,1/20/1999,6105.59
,.FTSE,1/21/1999,6022.25
,.FTSE,1/22/1999,5861.24
,.FTSE,1/25/1999,5880.94
,.FTSE,1/26/1999,5885.66
,.FTSE,1/27/1999,5876.4
,.FTSE,1/28/1999,5872.5
,.FTSE,1/29/1999,5896
,.FTSE,2/1/1999,6012.39
,.FTSE,2/2/1999,6012.98
,.FTSE,2/3/1999,5940.26
,.FTSE,2/4/1999,5939.92
,.FTSE,2/5/1999,5855.27
,.FTSE,2/8/1999,5834.91
,.FTSE,2/9/1999,5779.91
,.FTSE,2/10/1999,5770.2
,.FTSE,2/11/1999,5888.5
,.FTSE,2/12/1999,5950.73
,.FTSE,2/15/1999,6023.24
,.FTSE,2/16/1999,6108.61
,.FTSE,2/17/1999,6078.39
,.FTSE,2/18/1999,6074.92
,.FTSE,2/19/1999,6031.21
,.FTSE,2/22/1999,6069.93
,.FTSE,2/23/1999,6155.24
,.FTSE,2/24/1999,6307.62
,.FTSE,2/25/1999,6206.51
,.FTSE,2/26/1999,6175.1
,.FTSE,3/1/1999,6060.87
,.FTSE,3/2/1999,6061.27
,.FTSE,3/3/1999,6048.32
,.FTSE,3/4/1999,6101.45
,.FTSE,3/5/1999,6205.48
,.FTSE,3/8/1999,6208.85
,.FTSE,3/9/1999,6237.66
,.FTSE,3/10/1999,6241.48
,.FTSE,3/11/1999,6335.68
,.FTSE,3/12/1999,6282.22
,.FTSE,3/15/1999,6206.77
,.FTSE,3/16/1999,6201.91
,.FTSE,3/17/1999,6140.58
,.FTSE,3/18/1999,6114.27
,.FTSE,3/19/1999,6163.21
,.FTSE,3/22/1999,6152.76
,.FTSE,3/23/1999,6060.51
,.FTSE,3/24/1999,6016.7
,.FTSE,3/25/1999,6084.99
,.FTSE,3/26/1999,6139.23
,.FTSE,3/29/1999,6252.92
,.FTSE,3/30/1999,6264.15
,.FTSE,3/31/1999,6295.33
,.FTSE,4/1/1999,6330.02
,.FTSE,4/6/1999,6415.28
,.FTSE,4/7/1999,6473.22
,.FTSE,4/8/1999,6437.87
,.FTSE,4/9/1999,6472.83
,.FTSE,4/12/1999,6441.16
,.FTSE,4/13/1999,6513.08
,.FTSE,4/14/1999,6493.56
,.FTSE,4/15/1999,6466.13
,.FTSE,4/16/1999,6420.61
,.FTSE,4/19/1999,6515.34
,.FTSE,4/20/1999,6319.76
,.FTSE,4/21/1999,6310.95
,.FTSE,4/22/1999,6413.55
,.FTSE,4/23/1999,6427.99
,.FTSE,4/26/1999,6503.59
,.FTSE,4/27/1999,6593.62
,.FTSE,4/28/1999,6598.77
,.FTSE,4/29/1999,6497.6
,.FTSE,4/30/1999,6552.18
,.FTSE,5/4/1999,6533.14
,.FTSE,5/5/1999,6401.67
,.FTSE,5/6/1999,6406.59
,.FTSE,5/7/1999,6356.03
,.FTSE,5/10/1999,6348.82
